size, next_pos,   next_imp_pos, find_min_pos, find_imp_pos,
4,    9,          9,            9,            9,
5,    6,          6,            6,            6,
6,    32,         28,           28,           28,
7,    10,         9,            8,            8,
8,    114,        89,           76,           76,
9,    42,         35,           26,           26,
10,   103,        84,           36,           36,
11,   53,         41,           61,           61,
12,   262,        194,          154,          154,
13,   112,        89,           204,          204,
14,   1900,       1485,         125,          125,
15,   1360,       1027,         35,           35,
16,   10053,      7561,         45,           45,
17,   5375,       4259,         59,           59,
18,   41300,      30302,        56,           56,
19,   2546,       1906,         53,           53,
20,   199636,     145152,       146,          146,
21,   8563,       6007,         41,           41,
22,   1737189,    >1000000,     25,           25,
23,   25429,      17650,        63,           63,
24,   411609,     286964,       44,           44,
25,   48684,      32841,        276,          276,
26,   397700,     269257,       274,          274,
27,   454214,     310851,       63,           63,
28,   3006299,    >1000000,     29,           29,
29,   1532240,    995457,       38,           38,
30,   56429620,   >1000000,     148,          148,
31,   13186251,   >1000000,     82,           82,
32,   87491426,   >1000000,     90,           90,
33,   139956637,  >1000000,     39,           39,
34,   >100000,    >1000000,     37,           37,
35,   >100000,    >1000000,     309,          309,
36,   >100000,    >1000000,     51,           51,
37,   >100000,    >1000000,     135,          135,
38,   >100000,    >1000000,     143,          143,
39,   >100000,    >1000000,     200,          200,
40,   >100000,    >1000000,     124,          124,
41,   >100000,    >1000000,     1248,         1248,
42,   >100000,    >1000000,     7331,         7331,
43,   >100000,    >1000000,     4743,         4743,
44,   >100000,    >1000000,     48,           48,
45,   >100000,    >1000000,     366,          366,
46,   >100000,    >1000000,     221,          221,
47,   >100000,    >1000000,     470,          470,
48,   >100000,    >1000000,     146,          146,
49,   >100000,    >1000000,     1287,         1287,
50,   >1000000,   >1000000,     2069,         2069,
51,   >1000000,   >1000000,     314,          314,
52,   >1000000,   >1000000,     691,          691,
53,   >1000000,   >1000000,     7717,         7717,
54,   >1000000,   >1000000,     1529,         1529,
55,   >1000000,   >1000000,     891,          891,
56,   >1000000,   >1000000,     71,           71,
57,   >10000000,  >1000000,     1207,         1207,
58,   >10000000,  >300000,      253,          253,
59,   >10000000,  >300000,      2332,         2332,
60,   >10000000,  >300000,      1726,         1726,
61,   >10000000,  >300000,      107,          107,
62,   >10000000,  >300000,      961,          961,
63,   >10000000,  >300000,      206,          206,
64,   >10000000,  >300000,      1623,         1623,
65,   >10000000,  >300000,      69,           69,
66,   >10000000,  >300000,      434,          434,
67,   >10000000,  >300000,      444,          444,
68,   >10000000,  >300000,      70,           70,
69,   >10000000,  >300000,      77,           77,
70,   >10000000,  >300000,      75,           75,
71,   >10000000,  >300000,      475,          475,
72,   >10000000,  >300000,      177,          177,
73,   >10000000,  >300000,      151,          151,
74,   >10000000,  >300000,      156,          156,
75,   >10000000,  >300000,      9527,         9527,
76,   >10000000,  >300000,      250,          250,
77,   >10000000,  >300000,      1379,         1379,
78,   >10000000,  >300000,      941,          941,
79,   >10000000,  >300000,      335,          335,
80,   >10000000,  >300000,      165,          165,
81,   >10000000,  >300000,      27659,        27659,
82,   >10000000,  >300000,      7270,         7270,
83,   >10000000,  >300000,      264,          264,
84,   >10000000,  >300000,      452,          452,
85,   >10000000,  >300000,      107,          107,
86,   >10000000,  >300000,      191656,       191656,
87,   >10000000,  >300000,      215,          215,
88,   >10000000,  >300000,      95354903,     >1000000,
89,   >10000000,  >300000,      301,          301,
90,   >10000000,  >300000,      1670,         1670,
91,   >10000000,  >300000,      21260321,     >1000000,
92,   >10000000,  >300000,      108,          108,
93,   >10000000,  >300000,      12724206,     >1000000,
94,   >10000000,  >300000,      149,          149,
95,   >10000000,  >300000,      9478,         9478,
96,   >10000000,  >300000,      2201,         2201,
97,   >10000000,  >300000,      32096117,     >1000000,
98,   >10000000,  >300000,      4493361,      >1000000,
99,   >10000000,  >300000,      27361646,     >100000,
100,  >10000000,  >300000,      186,          186,
101,  >10000000,  >300000,      1370381,      >100000,
102,  >10000000,  >300000,      192,          192,
103,  >10000000,  >300000,      104,          104,
104,  >10000000,  >300000,      6514,         6514,
105,  >10000000,  >300000,      195838,       >100000,
106,  >10000000,  >300000,      4047,         4047,
107,  >10000000,  >300000,      7183,         7183,
108,  >10000000,  >300000,      59646569,     >100000,
